time,environment,condition,donor,population,value
24,Inflammatory,Activated,D1,CD45- (spheroid),96.65
24,Inflammatory,Activated,D1,CD45+ (PBMC),3.35
24,Inflammatory,Activated,D2,CD45- (spheroid),96.64
24,Inflammatory,Activated,D2,CD45+ (PBMC),3.36
24,Inflammatory,Resting,D1,CD45- (spheroid),98.21
24,Inflammatory,Resting,D1,CD45+ (PBMC),1.79
24,Inflammatory,Resting,D2,CD45- (spheroid),96.19
24,Inflammatory,Resting,D2,CD45+ (PBMC),3.81
24,Basal,Activated,D1,CD45- (spheroid),93.54
24,Basal,Activated,D1,CD45+ (PBMC),6.46
24,Basal,Activated,D2,CD45- (spheroid),92.57
24,Basal,Activated,D2,CD45+ (PBMC),7.43
24,Basal,Resting,D1,CD45- (spheroid),98.53
24,Basal,Resting,D1,CD45+ (PBMC),1.47
24,Basal,Resting,D2,CD45- (spheroid),95.17
24,Basal,Resting,D2,CD45+ (PBMC),4.83
48,Inflammatory,Activated,D1,CD45- (spheroid),97.6
48,Inflammatory,Activated,D1,CD45+ (PBMC),2.4
48,Inflammatory,Activated,D2,CD45- (spheroid),96.99
48,Inflammatory,Activated,D2,CD45+ (PBMC),3.01
48,Inflammatory,Resting,D1,CD45- (spheroid),97.63
48,Inflammatory,Resting,D1,CD45+ (PBMC),2.37
48,Inflammatory,Resting,D2,CD45- (spheroid),97.77
48,Inflammatory,Resting,D2,CD45+ (PBMC),2.23
48,Basal,Activated,D1,CD45- (spheroid),97.73
48,Basal,Activated,D1,CD45+ (PBMC),2.27
48,Basal,Activated,D2,CD45- (spheroid),97.35
48,Basal,Activated,D2,CD45+ (PBMC),2.65
48,Basal,Resting,D1,CD45- (spheroid),99.08
48,Basal,Resting,D1,CD45+ (PBMC),0.92
48,Basal,Resting,D2,CD45- (spheroid),97.51
48,Basal,Resting,D2,CD45+ (PBMC),2.49
96,Inflammatory,Activated,D1,CD45- (spheroid),98.3
96,Inflammatory,Activated,D1,CD45+ (PBMC),1.7
96,Inflammatory,Activated,D2,CD45- (spheroid),98.06
96,Inflammatory,Activated,D2,CD45+ (PBMC),1.94
96,Inflammatory,Resting,D1,CD45- (spheroid),94.53
96,Inflammatory,Resting,D1,CD45+ (PBMC),5.47
96,Inflammatory,Resting,D2,CD45- (spheroid),96.64
96,Inflammatory,Resting,D2,CD45+ (PBMC),3.36
96,Basal,Activated,D1,CD45- (spheroid),96.96
96,Basal,Activated,D2,CD45- (spheroid),94.93
96,Basal,Resting,D1,CD45- (spheroid),96.8
96,Basal,Resting,D2,CD45- (spheroid),94.02
