time,environment,condition,donor,population,count
0,Inflammatory,Control,,CD45- (spheroid),2935
0,Basal,Control,,CD45- (spheroid),2093
24,Inflammatory,Control,,CD45- (spheroid),2822
24,Basal,Control,,CD45- (spheroid),1995
24,Inflammatory,Activated,D1,CD45- (spheroid),2517
24,Inflammatory,Activated,D2,CD45- (spheroid),2295
24,Inflammatory,Resting,D1,CD45- (spheroid),2806
24,Inflammatory,Resting,D2,CD45- (spheroid),2912
24,Basal,Activated,D1,CD45- (spheroid),1105
24,Basal,Activated,D2,CD45- (spheroid),1294
24,Basal,Resting,D1,CD45- (spheroid),1737
24,Basal,Resting,D2,CD45- (spheroid),1820
48,Inflammatory,Control,,CD45- (spheroid),2464
48,Basal,Control,,CD45- (spheroid),1762
48,Inflammatory,Activated,D1,CD45- (spheroid),1818
48,Inflammatory,Activated,D2,CD45- (spheroid),2026
48,Inflammatory,Resting,D1,CD45- (spheroid),2013
48,Inflammatory,Resting,D2,CD45- (spheroid),2210
48,Basal,Activated,D1,CD45- (spheroid),963
48,Basal,Activated,D2,CD45- (spheroid),1003
48,Basal,Resting,D1,CD45- (spheroid),993
48,Basal,Resting,D2,CD45- (spheroid),918
96,Inflammatory,Control,,CD45- (spheroid),1932
96,Basal,Control,,CD45- (spheroid),1009
96,Inflammatory,Activated,D1,CD45- (spheroid),986
96,Inflammatory,Activated,D2,CD45- (spheroid),667
96,Inflammatory,Resting,D1,CD45- (spheroid),1707
96,Inflammatory,Resting,D2,CD45- (spheroid),1411
96,Basal,Activated,D1,CD45- (spheroid),1532
96,Basal,Activated,D2,CD45- (spheroid),1423
96,Basal,Resting,D1,CD45- (spheroid),1574
96,Basal,Resting,D2,CD45- (spheroid),1100
0,Inflammatory,Control,,CD45+ (PBMC),0
0,Basal,Control,,CD45+ (PBMC),0
24,Inflammatory,Control,,CD45+ (PBMC),0
24,Basal,Control,,CD45+ (PBMC),0
24,Inflammatory,Activated,D1,CD45+ (PBMC),976
24,Inflammatory,Activated,D2,CD45+ (PBMC),1045
24,Inflammatory,Resting,D1,CD45+ (PBMC),347
24,Inflammatory,Resting,D2,CD45+ (PBMC),244
24,Basal,Activated,D1,CD45+ (PBMC),504
24,Basal,Activated,D2,CD45+ (PBMC),320
24,Basal,Resting,D1,CD45+ (PBMC),120
24,Basal,Resting,D2,CD45+ (PBMC),67
48,Inflammatory,Control,,CD45+ (PBMC),0
48,Basal,Control,,CD45+ (PBMC),0
48,Inflammatory,Activated,D1,CD45+ (PBMC),1044
48,Inflammatory,Activated,D2,CD45+ (PBMC),823
48,Inflammatory,Resting,D1,CD45+ (PBMC),1430
48,Inflammatory,Resting,D2,CD45+ (PBMC),1135
48,Basal,Activated,D1,CD45+ (PBMC),227
48,Basal,Activated,D2,CD45+ (PBMC),130
48,Basal,Resting,D1,CD45+ (PBMC),635
48,Basal,Resting,D2,CD45+ (PBMC),126
96,Inflammatory,Control,,CD45+ (PBMC),0
96,Basal,Control,,CD45+ (PBMC),0
96,Inflammatory,Activated,D1,CD45+ (PBMC),1464
96,Inflammatory,Activated,D2,CD45+ (PBMC),2049
96,Inflammatory,Resting,D1,CD45+ (PBMC),2424
96,Inflammatory,Resting,D2,CD45+ (PBMC),3033
96,Basal,Activated,D1,CD45+ (PBMC),1464
96,Basal,Activated,D2,CD45+ (PBMC),2049
96,Basal,Resting,D1,CD45+ (PBMC),48
96,Basal,Resting,D2,CD45+ (PBMC),76
