time,sample,environment,condition,cell_type,dist_pct,count
24,1,Basal,Control,MRC5,5,4
24,1,Basal,Control,MRC5,15,9
24,1,Basal,Control,MRC5,25,10
24,1,Basal,Control,MRC5,35,23
24,1,Basal,Control,MRC5,45,30
24,1,Basal,Control,MRC5,55,37
24,1,Basal,Control,MRC5,65,37
24,1,Basal,Control,MRC5,75,37
24,1,Basal,Control,MRC5,85,42
24,1,Basal,Control,MRC5,95,28
24,1,Basal,Control,MRC5,105,14
24,1,Basal,Control,MRC5,115,1
24,1,Basal,Control,MRC5,125,0
24,1,Basal,Control,A549,5,9
24,1,Basal,Control,A549,15,19
24,1,Basal,Control,A549,25,34
24,1,Basal,Control,A549,35,45
24,1,Basal,Control,A549,45,46
24,1,Basal,Control,A549,55,67
24,1,Basal,Control,A549,65,77
24,1,Basal,Control,A549,75,99
24,1,Basal,Control,A549,85,118
24,1,Basal,Control,A549,95,75
24,1,Basal,Control,A549,105,38
24,1,Basal,Control,A549,115,3
24,1,Basal,Control,A549,125,0
24,2,Basal,Resting,MRC5,5,3
24,2,Basal,Resting,MRC5,15,9
24,2,Basal,Resting,MRC5,25,9
24,2,Basal,Resting,MRC5,35,18
24,2,Basal,Resting,MRC5,45,21
24,2,Basal,Resting,MRC5,55,23
24,2,Basal,Resting,MRC5,65,25
24,2,Basal,Resting,MRC5,75,27
24,2,Basal,Resting,MRC5,85,26
24,2,Basal,Resting,MRC5,95,19
24,2,Basal,Resting,MRC5,105,1
24,2,Basal,Resting,MRC5,115,0
24,2,Basal,Resting,MRC5,125,0
24,2,Basal,Resting,A549,5,9
24,2,Basal,Resting,A549,15,24
24,2,Basal,Resting,A549,25,54
24,2,Basal,Resting,A549,35,65
24,2,Basal,Resting,A549,45,98
24,2,Basal,Resting,A549,55,112
24,2,Basal,Resting,A549,65,129
24,2,Basal,Resting,A549,75,134
24,2,Basal,Resting,A549,85,173
24,2,Basal,Resting,A549,95,136
24,2,Basal,Resting,A549,105,38
24,2,Basal,Resting,A549,115,1
24,2,Basal,Resting,A549,125,0
24,2,Basal,Resting,PBMC,5,6
24,2,Basal,Resting,PBMC,15,21
24,2,Basal,Resting,PBMC,25,32
24,2,Basal,Resting,PBMC,35,39
24,2,Basal,Resting,PBMC,45,47
24,2,Basal,Resting,PBMC,55,57
24,2,Basal,Resting,PBMC,65,73
24,2,Basal,Resting,PBMC,75,83
24,2,Basal,Resting,PBMC,85,107
24,2,Basal,Resting,PBMC,95,114
24,2,Basal,Resting,PBMC,105,17
24,2,Basal,Resting,PBMC,115,1
24,2,Basal,Resting,PBMC,125,0
24,3,Basal,Activated,MRC5,5,2
24,3,Basal,Activated,MRC5,15,6
24,3,Basal,Activated,MRC5,25,12
24,3,Basal,Activated,MRC5,35,20
24,3,Basal,Activated,MRC5,45,36
24,3,Basal,Activated,MRC5,55,38
