celltype,time,sample,total,norm_total,promedio,norm_prom
PBMC,24,1,0,0.0,0,0.0
PBMC,24,2,47266441,0.05070460316510636,605591812940423,7.330483267349489e-07
PBMC,24,3,93352474,0.10014293542115661,826128088495575007232,1.0
PBMC,24,4,0,0.0,0,0.0
PBMC,24,5,438953999,0.47088352446573023,15847000000,1.9182255416176763e-11
PBMC,24,6,521963599,0.5599312449593086,134874314987080,1.6326077864353165e-07
PBMC,48,1,0,0.0,0,0.0
PBMC,48,2,397161554,0.4260510959140537,30788000000,3.7267828595522825e-11
PBMC,48,3,932192307,1.0,46378000000,5.613899423811737e-11
PBMC,48,4,0,0.0,0,0.0
PBMC,48,5,663186575,0.7114267839586451,56202000000,6.803061266485558e-11
PBMC,48,6,29261569,0.03139005630090445,2268300000,2.745700130025478e-12
PBMC,96,1,0,0.0,0,0.0
PBMC,96,2,33249,3.5667533137022555e-05,1873510000,2.267820240093477e-12
PBMC,96,3,23778462,0.025508107953094276,35757000,4.328263437346075e-14
PBMC,96,4,0,0.0,0,0.0
PBMC,96,5,746184760,0.8004622591248224,1361200000,1.6476863805452017e-12
PBMC,96,6,306074028,0.32833786087016054,21404000000,2.5908815228614086e-11
A549,24,1,14450085,0.3167411896579333,,
A549,24,2,18031050,0.4897207543451215,,
A549,24,3,16573725,0.41932424276018376,,
A549,24,4,16345245,0.4082874493428427,,
A549,24,5,21783120,0.6709655962455194,,
A549,24,6,28594680,1.0,,
A549,48,1,11839650,0.19064336129485238,,
A549,48,2,14223135,0.30577830333936906,,
A549,48,3,19584000,0.5647364596036116,,
A549,48,4,16742280,0.42746634147543205,,
A549,48,5,7893015,0.0,,
A549,48,6,15259455,0.35583804491088034,3.4186356624898844,
A549,96,1,1625625,9.948833550980185e-09,,
A549,96,2,14799945,0.3336412795782368,,
A549,96,3,11026200,0.15134942044516708,,
A549,96,4,17568735,0.46738849266472043,,
A549,96,5,3549855,5.632308698361961e-08,,
A549,96,6,13433145,0.26761760467092865,,
MRC5,24,1,9847590,0.38253005750130686,,
MRC5,24,2,9700965,0.37651855723993727,,
MRC5,24,3,8943105,0.345446941975954,,
MRC5,24,4,11269215,0.4408154730789336,,
MRC5,24,5,16311330,0.6475378985886043,,
MRC5,24,6,24908145,1.0,,
MRC5,48,1,5610255,0.2088029273392577,,
MRC5,48,2,5031915,0.18509147935180345,,
MRC5,48,3,4590765,0.16700470465237846,,
MRC5,48,4,3955560,0.14096184004181914,,
MRC5,48,5,2807805,0.09390486147412441,,
MRC5,48,6,3110235,0.10630423418714062,,
MRC5,96,1,517395,0.0,,
MRC5,96,2,10160985,0.39537898588604287,,
MRC5,96,3,2753490,0.09167799268165186,,
MRC5,96,4,5706900,0.21276529012023002,,
MRC5,96,5,704055,0.007652901202300052,,
MRC5,96,6,3686025,0.12991113434396237,,
