time,environment,condition,donor,epcam
0,Inflammatory,Control,,6.870229007633588
0,Basal,Control,,5.996791014841556
24,Inflammatory,Control,,5.718338399189464
24,Basal,Control,,6.486117432862995
24,Inflammatory,Activated,D1,5.1470287513803115
24,Inflammatory,Activated,D2,4.9080410607356715
24,Inflammatory,Resting,D1,6.356757736396175
24,Inflammatory,Resting,D2,6.590621039290241
24,Basal,Activated,D1,4.905442599662612
24,Basal,Activated,D2,5.726677288015578
24,Basal,Resting,D1,6.681283175628894
24,Basal,Resting,D2,6.889242183359831
48,Inflammatory,Control,,4.936886395511921
48,Basal,Control,,5.821329456852121
48,Inflammatory,Activated,D1,3.998064743138635
48,Inflammatory,Activated,D2,4.578117232340579
48,Inflammatory,Resting,D1,4.356791856791857
48,Inflammatory,Resting,D2,6.280788177339901
48,Basal,Activated,D1,5.7803121248499405
48,Basal,Activated,D2,6.323288362123313
48,Basal,Resting,D1,4.703490817327912
48,Basal,Resting,D2,5.204653572606095
96,Inflammatory,Control,,5.040175310445581
96,Basal,Control,,4.776105273123165
96,Inflammatory,Activated,D1,2.0653540008378717
96,Inflammatory,Activated,D2,1.2876447876447878
96,Inflammatory,Resting,D1,3.8451142046222464
96,Inflammatory,Resting,D2,2.9128819157720893
96,Basal,Activated,D1,6.925858951175407
96,Basal,Activated,D2,6.780710950157247
96,Basal,Resting,D1,6.914426287120015
96,Basal,Resting,D2,6.715506715506716
