time,environment,condition,pct_low_density
24,Basal,Activated,10.5
48,Basal,Activated,20.69
96,Basal,Activated,21.37
24,Basal,Control,3.94
48,Basal,Control,6.95
96,Basal,Control,30.34
24,Basal,Resting,27.63
48,Basal,Resting,23.1
96,Basal,Resting,28.54
24,Inflammatory,Activated,31.13
48,Inflammatory,Activated,74.15
96,Inflammatory,Activated,97.04
24,Inflammatory,Control,11.07
48,Inflammatory,Control,23.17
96,Inflammatory,Control,11.43
24,Inflammatory,Resting,44.75
48,Inflammatory,Resting,41.5
96,Inflammatory,Resting,68.2
