time,environment,condition,marker,rep,value
24,Basal,Resting,CD14,1,78.0
24,Basal,Resting,CD14,2,78.05
48,Basal,Resting,CD14,1,1.48
48,Basal,Resting,CD14,2,1.6
96,Basal,Resting,CD14,1,1.77
96,Basal,Resting,CD14,2,1.8
24,Basal,Resting,CD3,1,1.11
24,Basal,Resting,CD3,2,1.1
48,Basal,Resting,CD3,1,1.12
48,Basal,Resting,CD3,2,1.11
96,Basal,Resting,CD3,1,34.29
96,Basal,Resting,CD3,2,34.3
24,Basal,Activated,CD14,1,1.36
24,Basal,Activated,CD14,2,1.1
48,Basal,Activated,CD14,1,1.0
48,Basal,Activated,CD14,2,1.37
96,Basal,Activated,CD14,1,1.6
96,Basal,Activated,CD14,2,1.6
24,Basal,Activated,CD3,1,15.32
24,Basal,Activated,CD3,2,15.31
48,Basal,Activated,CD3,1,29.87
48,Basal,Activated,CD3,2,29.8
96,Basal,Activated,CD3,1,11.1
96,Basal,Activated,CD3,2,11.08
24,Inflammatory,Resting,CD14,1,6.098
24,Inflammatory,Resting,CD14,2,6.11
48,Inflammatory,Resting,CD14,1,7.6
48,Inflammatory,Resting,CD14,2,7.8
96,Inflammatory,Resting,CD14,1,43.8
96,Inflammatory,Resting,CD14,2,43.9
24,Inflammatory,Resting,CD3,1,1.5
24,Inflammatory,Resting,CD3,2,1.52
48,Inflammatory,Resting,CD3,1,1.58
48,Inflammatory,Resting,CD3,2,1.55
96,Inflammatory,Resting,CD3,1,1.6
96,Inflammatory,Resting,CD3,2,1.59
24,Inflammatory,Activated,CD14,1,1.1
24,Inflammatory,Activated,CD14,2,1.12
48,Inflammatory,Activated,CD14,1,1.27
48,Inflammatory,Activated,CD14,2,1.28
96,Inflammatory,Activated,CD14,1,1.93
96,Inflammatory,Activated,CD14,2,1.9
24,Inflammatory,Activated,CD3,1,7.5
24,Inflammatory,Activated,CD3,2,7.52
48,Inflammatory,Activated,CD3,1,54.55
48,Inflammatory,Activated,CD3,2,55.0
96,Inflammatory,Activated,CD3,1,33.2
96,Inflammatory,Activated,CD3,2,33.5
