time,environment,condition,rep,value
24,Basal,Control,1,0.11
24,Basal,Control,2,0.2
48,Basal,Control,1,0.52
48,Basal,Control,2,0.8
96,Basal,Control,1,2.29
96,Basal,Control,2,2.35
24,Basal,Resting,1,5.87
24,Basal,Resting,2,6.12
48,Basal,Resting,1,0.86
48,Basal,Resting,2,0.98
96,Basal,Resting,1,1.55
96,Basal,Resting,2,1.68
24,Basal,Activated,1,22.93
24,Basal,Activated,2,22.8
48,Basal,Activated,1,20.3
48,Basal,Activated,2,20.4
96,Basal,Activated,1,1.65
96,Basal,Activated,2,1.72
24,Inflammatory,Control,1,5.43
24,Inflammatory,Control,2,5.68
48,Inflammatory,Control,1,6.34
48,Inflammatory,Control,2,6.5
96,Inflammatory,Control,1,2.77
96,Inflammatory,Control,2,2.9
24,Inflammatory,Resting,1,1.89
24,Inflammatory,Resting,2,2.0
48,Inflammatory,Resting,1,0.11
48,Inflammatory,Resting,2,0.15
96,Inflammatory,Resting,1,20.2
96,Inflammatory,Resting,2,20.5
24,Inflammatory,Activated,1,19.8
24,Inflammatory,Activated,2,19.9
48,Inflammatory,Activated,1,10.35
48,Inflammatory,Activated,2,10.4
96,Inflammatory,Activated,1,0.65
96,Inflammatory,Activated,2,0.89
