cytokine,environment,pbmc,time,donor,value
CCL11,Basal,Activated,24,1.0,38.7631584959315
CCL11,Basal,Activated,24,2.0,26.0415003619755
CCL11,Basal,Activated,24,3.0,34.5394200007851
CCL11,Basal,Activated,24,4.0,42.9727385273988
CCL11,Basal,Activated,48,1.0,47.1696332683726
CCL11,Basal,Activated,48,2.0,51.3550411175614
CCL11,Basal,Activated,48,3.0,42.9727385273988
CCL11,Basal,Activated,48,4.0,59.6952147311297
CCL11,Basal,Activated,96,1.0,92.7388981801479
CCL11,Basal,Activated,96,2.0,72.1397376064119
CCL11,Basal,Activated,96,3.0,34.5394200007851
CCL11,Basal,Activated,96,4.0,84.5181405196097
CCL11,Basal,None,24,,37.5855302114404
CCL11,Basal,None,48,,44.0118644001672
CCL11,Basal,None,96,,63.31662823764215
CCL11,Basal,Resting,24,1.0,21.7616730040628
CCL11,Basal,Resting,24,2.0,30.2996687983961
CCL11,Basal,Resting,24,3.0,17.4555790418545
CCL11,Basal,Resting,24,4.0,34.5394200007851
CCL11,Basal,Resting,48,1.0,72.1397376064119
CCL11,Basal,Resting,48,2.0,72.1397376064119
CCL11,Basal,Resting,48,3.0,47.1696332683726
CCL11,Basal,Resting,48,4.0,47.1696332683726
CCL11,Basal,Resting,96,1.0,100.937239195891
CCL11,Basal,Resting,96,2.0,72.1397376064119
CCL11,Basal,Resting,96,3.0,51.3550411175614
CCL11,Basal,Resting,96,4.0,57.6137450414592
CCL11,Inflammatory,Activated,24,1.0,84.5181405196097
CCL11,Inflammatory,Activated,24,2.0,47.1696332683726
CCL11,Inflammatory,Activated,24,3.0,47.1696332683726
CCL11,Inflammatory,Activated,24,4.0,5.96250571559214
CCL11,Inflammatory,Activated,48,1.0,80.3986464128026
CCL11,Inflammatory,Activated,48,2.0,92.7388981801479
CCL11,Inflammatory,Activated,48,3.0,28.1730651643952
CCL11,Inflammatory,Activated,48,4.0,30.2996687983961
CCL11,Inflammatory,Activated,96,1.0,42.9727385273988
CCL11,Inflammatory,Activated,96,2.0,96.8407419343925
CCL11,Inflammatory,Activated,96,3.0,63.8515327587828
CCL11,Inflammatory,Activated,96,4.0,86.5755510087886
CCL11,Inflammatory,None,24,,48.72556724864068
CCL11,Inflammatory,None,48,,70.54827469080215
CCL11,Inflammatory,None,96,,64.7261421149785
CCL11,Inflammatory,Resting,24,1.0,42.9727385273988
CCL11,Inflammatory,Resting,24,2.0,47.1696332683726
CCL11,Inflammatory,Resting,24,3.0,23.904541220433
CCL11,Inflammatory,Resting,24,4.0,47.1696332683726
CCL11,Inflammatory,Resting,48,1.0,55.529955841575
CCL11,Inflammatory,Resting,48,2.0,59.6952147311297
CCL11,Inflammatory,Resting,48,3.0,51.3550411175614
CCL11,Inflammatory,Resting,48,4.0,55.529955841575
CCL11,Inflammatory,Resting,96,1.0,96.8407419343925
CCL11,Inflammatory,Resting,96,2.0,88.6314563782286
CCL11,Inflammatory,Resting,96,3.0,53.4437545767334
CCL11,Inflammatory,Resting,96,4.0,53.4437545767334
CCL2,Basal,Activated,24,1.0,270.864319079033
CCL2,Basal,Activated,24,2.0,268.587382481958
CCL2,Basal,Activated,24,3.0,3195.5559884584
CCL2,Basal,Activated,24,4.0,2508.35707473336
CCL2,Basal,Activated,48,1.0,7843.8848469087
CCL2,Basal,Activated,48,2.0,5425.00879292046
CCL2,Basal,Activated,48,3.0,4219.03553932465
