metric,environment,pbmc,donor,time,value
Area,Basal,None,,0,119254.7
Area,Basal,None,,24,124410.5016
Area,Basal,None,,48,124410.5016
Area,Basal,None,,96,125036.4654
Area,Basal,None,,0,125847.9
Area,Basal,None,,24,13410.5016
Area,Basal,None,,48,115110.5016
Area,Basal,None,,96,104936.4654
Area,Basal,None,,0,104952.93
Area,Basal,None,,24,132399.31
Area,Basal,None,,48,125708.29
Area,Basal,None,,96,137806.34
Area,Basal,None,,0,143557.32
Area,Basal,None,,24,111886.44
Area,Basal,None,,48,126729.93
Area,Basal,None,,96,137563.14
Area,Basal,Resting,1.0,0,989435.89
Area,Basal,Resting,1.0,24,133316.9376
Area,Basal,Resting,1.0,48,133316.9376
Area,Basal,Resting,1.0,96,134614.4184
Area,Basal,Resting,2.0,0,108718.28
Area,Basal,Resting,2.0,24,112282.93
Area,Basal,Resting,2.0,48,120818.38
Area,Basal,Resting,2.0,96,113140.74
Area,Basal,Resting,3.0,0,110237.59
Area,Basal,Resting,3.0,24,113815.14
Area,Basal,Resting,3.0,48,111231.08
Area,Basal,Resting,3.0,96,117234.48
Area,Basal,Resting,4.0,0,107930.8
Area,Basal,Resting,4.0,24,144316.9376
Area,Basal,Resting,4.0,48,154317.9376
Area,Basal,Resting,4.0,96,144714.4184
Area,Basal,Activated,1.0,0,104304.7
Area,Basal,Activated,1.0,24,132025.74
Area,Basal,Activated,1.0,48,132670.5534
Area,Basal,Activated,1.0,96,132670.5534
Area,Basal,Activated,2.0,0,116841.27
Area,Basal,Activated,2.0,24,117314.87
Area,Basal,Activated,2.0,48,118722.66
Area,Basal,Activated,2.0,96,110458.47
Area,Basal,Activated,3.0,0,116384.97
Area,Basal,Activated,3.0,24,112173.57
Area,Basal,Activated,3.0,48,102935.35
Area,Basal,Activated,3.0,96,111622.86
Area,Basal,Activated,4.0,0,900260.2
Area,Basal,Activated,4.0,24,142126.74
Area,Basal,Activated,4.0,48,152780.5534
Area,Basal,Activated,4.0,96,154670.5534
Area,Inflammatory,None,1.0,0,947728.9
Area,Inflammatory,None,1.0,24,123786.1086
Area,Inflammatory,None,1.0,48,124410.5016
Area,Inflammatory,None,1.0,96,124410.5016
Area,Inflammatory,None,2.0,0,104033.89
Area,Inflammatory,None,2.0,24,104758.58
Area,Inflammatory,None,2.0,48,909327.9
Area,Inflammatory,None,2.0,96,105875.15
Area,Inflammatory,None,3.0,0,1064304.7
Area,Inflammatory,None,3.0,24,127556.0286
Area,Inflammatory,None,3.0,48,131382.4974
Area,Inflammatory,None,3.0,96,131382.4974
Area,Inflammatory,None,4.0,0,1094920.9
Area,Inflammatory,None,4.0,24,113896.1086
Area,Inflammatory,None,4.0,48,134510.5016
Area,Inflammatory,None,4.0,96,114411.5016
Area,Inflammatory,Resting,1.0,0,130396.77
Area,Inflammatory,Resting,1.0,24,144186.16
Area,Inflammatory,Resting,1.0,48,131506.38
Area,Inflammatory,Resting,1.0,96,131204.2
Area,Inflammatory,Resting,2.0,0,112282.93
Area,Inflammatory,Resting,2.0,24,120818.38
Area,Inflammatory,Resting,2.0,48,113140.74
Area,Inflammatory,Resting,2.0,96,111886.44
Area,Inflammatory,Resting,3.0,0,154402.3
Area,Inflammatory,Resting,3.0,24,157003.67
Area,Inflammatory,Resting,3.0,48,145253.27
Area,Inflammatory,Resting,3.0,96,149097.68
Area,Inflammatory,Resting,4.0,0,197864.2
Area,Inflammatory,Resting,4.0,24,136966.0286
Area,Inflammatory,Resting,4.0,48,141492.4974
Area,Inflammatory,Resting,4.0,96,121482.4974
Area,Inflammatory,Activated,1.0,0,107930.8
Area,Inflammatory,Activated,1.0,24,131382.4974
Area,Inflammatory,Activated,1.0,48,132025.74
Area,Inflammatory,Activated,1.0,96,132025.74
Area,Inflammatory,Activated,2.0,0,117234.48
Area,Inflammatory,Activated,2.0,24,113129.5725
Area,Inflammatory,Activated,2.0,48,184873.27
Area,Inflammatory,Activated,2.0,96,126729.93
Area,Inflammatory,Activated,3.0,0,134422.73
Area,Inflammatory,Activated,3.0,24,174752.67
Area,Inflammatory,Activated,3.0,48,185213.13
Area,Inflammatory,Activated,3.0,96,137563.14
Area,Inflammatory,Activated,4.0,0,989868.86
Area,Inflammatory,Activated,4.0,24,141882.4974
Area,Inflammatory,Activated,4.0,48,152155.74
Area,Inflammatory,Activated,4.0,96,133025.74
Diametro,Basal,None,,0,378.0
Diametro,Basal,None,,24,398.0
Diametro,Basal,None,,48,398.0
Diametro,Basal,None,,96,399.0
Diametro,Basal,None,,0,370.0
Diametro,Basal,None,,24,399.0
Diametro,Basal,None,,48,361.0
Diametro,Basal,None,,96,401.0
Diametro,Basal,None,,0,363.0
Diametro,Basal,None,,24,405.0
Diametro,Basal,None,,48,375.0
Diametro,Basal,None,,96,395.0
Diametro,Basal,None,,0,353.0
Diametro,Basal,None,,24,410.0
Diametro,Basal,None,,48,350.0
Diametro,Basal,None,,96,400.0
Diametro,Basal,Resting,1.0,0,478.0
Diametro,Basal,Resting,1.0,24,412.0
