time,environment,condition,donor,pd1
0,Inflammatory,Control,,0.0
0,Basal,Control,,0.0
24,Inflammatory,Control,,0.0
24,Basal,Control,,0.0
24,Inflammatory,Activated,D1,27.0
24,Inflammatory,Activated,D2,27.0
24,Inflammatory,Resting,D1,12.9
24,Inflammatory,Resting,D2,14.2
24,Basal,Activated,D1,9.0
24,Basal,Activated,D2,7.0
24,Basal,Resting,D1,10.0
24,Basal,Resting,D2,12.0
48,Inflammatory,Control,,0.0
48,Basal,Control,,0.0
48,Inflammatory,Activated,D1,29.0
48,Inflammatory,Activated,D2,24.0
48,Inflammatory,Resting,D1,43.4
48,Inflammatory,Resting,D2,40.1
48,Basal,Activated,D1,21.0
48,Basal,Activated,D2,18.0
48,Basal,Resting,D1,31.0
48,Basal,Resting,D2,25.0
96,Inflammatory,Control,,0.0
96,Basal,Control,,0.0
96,Inflammatory,Activated,D1,41.2
96,Inflammatory,Activated,D2,38.9
96,Inflammatory,Resting,D1,58.2
96,Inflammatory,Resting,D2,49.0
96,Basal,Activated,D1,52.3
96,Basal,Activated,D2,41.8
96,Basal,Resting,D1,93.6
96,Basal,Resting,D2,91.2
