time,environment,condition,donor,pdl1
0,Inflammatory,Control,,4.0
0,Basal,Control,,3.6
24,Inflammatory,Control,,8.1
24,Basal,Control,,5.2
24,Inflammatory,Activated,D1,11.1
24,Inflammatory,Activated,D2,16.5
24,Inflammatory,Resting,D1,25.1
24,Inflammatory,Resting,D2,24.3
24,Basal,Activated,D1,20.0
24,Basal,Activated,D2,18.7
24,Basal,Resting,D1,6.7
24,Basal,Resting,D2,8.8
48,Inflammatory,Control,,12.4
48,Basal,Control,,10.1
48,Inflammatory,Activated,D1,26.9
48,Inflammatory,Activated,D2,26.8
48,Inflammatory,Resting,D1,18.9
48,Inflammatory,Resting,D2,15.2
48,Basal,Activated,D1,40.6
48,Basal,Activated,D2,40.7
48,Basal,Resting,D1,40.1
48,Basal,Resting,D2,31.2
96,Inflammatory,Control,,20.1
96,Basal,Control,,15.0
96,Inflammatory,Activated,D1,88.9
96,Inflammatory,Activated,D2,88.5
96,Inflammatory,Resting,D1,60.5
96,Inflammatory,Resting,D2,56.2
96,Basal,Activated,D1,30.2
96,Basal,Activated,D2,32.5
96,Basal,Resting,D1,24.6
96,Basal,Resting,D2,24.8
