time,environment,condition,donor,viability
0,Inflammatory,Control,,77.44690168600832
0,Basal,Control,,97.041650447645
24,Inflammatory,Control,,82.90216368767639
24,Basal,Control,,87.80975219824141
24,Inflammatory,Activated,D1,77.74315602047629
24,Inflammatory,Activated,D2,77.18973884908712
24,Inflammatory,Resting,D1,75.92102094871177
24,Inflammatory,Resting,D2,74.60992907801419
24,Basal,Activated,D1,66.13234689683519
24,Basal,Activated,D2,65.13317191283294
24,Basal,Resting,D1,83.27354260089686
24,Basal,Resting,D2,83.79218472468916
48,Inflammatory,Control,,82.01058201058201
48,Basal,Control,,91.49386373254337
48,Inflammatory,Activated,D1,71.74729401369561
48,Inflammatory,Activated,D2,69.4267515923567
48,Inflammatory,Resting,D1,70.76388888888889
48,Inflammatory,Resting,D2,71.5667767815007
48,Basal,Activated,D1,52.888888888888886
48,Basal,Activated,D2,46.83753617197189
48,Basal,Resting,D1,71.30968024529129
48,Basal,Resting,D2,45.490196078431374
96,Inflammatory,Control,,68.6904164576016
96,Basal,Control,,68.15718157181571
96,Inflammatory,Activated,D1,72.83212302434858
96,Inflammatory,Activated,D2,85.54913294797687
96,Inflammatory,Resting,D1,71.29046762589928
96,Inflammatory,Resting,D2,79.90762124711317
96,Basal,Activated,D1,59.82582355168497
96,Basal,Activated,D2,57.49904104334484
96,Basal,Resting,D1,69.93548387096774
96,Basal,Resting,D2,50.45278137128072
