environment,condition,donor,time,pct,n,pop
Inflammatory,Control,NA,0,92.9,1166,live
Inflammatory,Control,NA,24,11.6,325,live
Inflammatory,Control,NA,48,27.3,539,live
Inflammatory,Control,NA,96,27.5,999,live
Basal,Control,NA,0,92.9,2914,live
Basal,Control,NA,24,11.7,288,live
Basal,Control,NA,48,40.5,1019,live
Basal,Control,NA,96,10.7,192,live
Inflammatory,Activated,D1,24,39.9,1774,live
Inflammatory,Activated,D1,48,30.8,1281,live
Inflammatory,Activated,D1,96,40.5,1961,live
Inflammatory,Activated,D2,24,30.3,1566,live
Inflammatory,Activated,D2,48,20.4,1565,live
Inflammatory,Activated,D2,96,46.2,1896,live
Inflammatory,Resting,D1,24,37.1,1587,live
Inflammatory,Resting,D1,48,15.7,776,live
Inflammatory,Resting,D1,96,15.4,415,live
Inflammatory,Resting,D2,24,30.5,1186,live
Inflammatory,Resting,D2,48,19.8,843,live
Inflammatory,Resting,D2,96,20.8,420,live
Basal,Activated,D1,48,19.6,677,live
Basal,Activated,D1,96,27.7,754,live
Basal,Activated,D2,24,34.8,1384,live
Basal,Activated,D2,48,19.4,826,live
Basal,Activated,D2,96,18.9,449,live
Basal,Resting,D1,24,18.3,562,live
Basal,Resting,D1,48,37.4,1615,live
Basal,Resting,D1,96,35.6,684,live
Basal,Resting,D2,24,9.12,145,live
Basal,Resting,D2,48,38.6,1601,live
Basal,Resting,D2,96,34.3,652,live
Inflammatory,Control,NA,0,6.77,85,dead
Inflammatory,Control,NA,24,87.8,2464,dead
Inflammatory,Control,NA,48,72.7,1437,dead
Inflammatory,Control,NA,96,69.2,2515,dead
Basal,Control,NA,0,7.11,223,dead
Basal,Control,NA,24,87.8,2153,dead
Basal,Control,NA,48,58.4,1470,dead
Basal,Control,NA,96,89.2,1600,dead
Inflammatory,Activated,D1,24,58.3,2592,dead
Inflammatory,Activated,D1,48,68.7,2852,dead
Inflammatory,Activated,D1,96,56.8,1104,dead
Inflammatory,Activated,D2,24,67.2,1532,dead
Inflammatory,Activated,D2,48,77.3,1138,dead
Inflammatory,Activated,D2,96,49.8,2011,dead
Inflammatory,Resting,D1,24,62.6,2674,dead
Inflammatory,Resting,D1,48,82.2,1265,dead
Inflammatory,Resting,D1,96,83.2,2246,dead
Inflammatory,Resting,D2,24,67.7,552,dead
Inflammatory,Resting,D2,48,80.1,3401,dead
Inflammatory,Resting,D2,96,75.7,1532,dead
Basal,Activated,D1,48,79.4,2737,dead
Basal,Activated,D1,96,70.9,1930,dead
Basal,Activated,D2,24,61.1,2425,dead
Basal,Activated,D2,48,79.2,3372,dead
Basal,Activated,D2,96,79.8,1899,dead
Basal,Resting,D1,24,81.7,2514,dead
Basal,Resting,D1,48,61.2,2643,dead
Basal,Resting,D1,96,62.9,1207,dead
Basal,Resting,D2,24,91.3,1452,dead
Basal,Resting,D2,48,49.1,1559,dead
Basal,Resting,D2,96,55.7,1116,dead
